intentName,intentGroup,destinationTypeEnterprise,destinationEnterprise,destinationTypeBusiness,destinationBusiness,destinationTypeGovernment,destinationGovernment,closed_door_SS,wirelessSS,identifyEnterprise,identifyBusiness,identifyGovernment,specialIntent,authLevelEnterprise,authLevelBusiness,authLevelGovernment,repromptMenu_EN,repromptMenu_FR
Bus-TechSupp-CLEC-Wir,Bus-TechSupp-CLEC-Wir,Disambig,Bus-TechSupp-CLEC-Wir,Disambig,Bus-TechSupp-CLEC-Wir,Disambig,Bus-TechSupp-CLEC-Wir,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,NONE,NONE,NONE,N/A,N/A
lost-or-stolen-device,self-serve-wireless-lost-stolen,Transfer,Transfer,Transfer,Transfer,Transfer,Transfer,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,NONE,NONE,NONE,N/A,N/A
payment-program,collection-payments,Transfer,Transfer,Transfer,Transfer,Transfer,Transfer,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,NONE,NONE,NONE,N/A,N/A
phone-activation,service,Transfer,Transfer,Transfer,Transfer,Transfer,Transfer,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,NONE,NONE,NONE,N/A,N/A
report-fraud,service,Module,FAQ,Module,FAQ,Module,FAQ,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,NONE,NONE,NONE,N/A,N/A
upgrade-vague,sales,Transfer,Transfer,Transfer,Transfer,Transfer,Transfer,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,NONE,NONE,NONE,N/A,N/A
price-plan-change,service,Transfer,Transfer,Transfer,Transfer,Transfer,Transfer,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,NONE,NONE,NONE,N/A,N/A
nlu-main-menu,nlu-main-menu,Module,NLUMainMenu,Module,NLUMainMenu,Module,NLUMainMenu,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,NONE,NONE,NONE,N/A,N/A
add-streaming-services,service,Transfer,Transfer,Transfer,Transfer,Transfer,Transfer,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,NONE,NONE,NONE,N/A,N/A
appointment-change,tech-support-wireline,Transfer,Transfer,Transfer,Transfer,Transfer,Transfer,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,NONE,NONE,NONE,N/A,N/A
appointment-new,tech-support-wireline,Transfer,Transfer,Transfer,Transfer,Transfer,Transfer,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,NONE,NONE,NONE,N/A,N/A
appointment-service-book,tech-support-wireline,Transfer,Transfer,Transfer,Transfer,Transfer,Transfer,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,NONE,NONE,NONE,N/A,N/A
appointment-status,tech-support-wireline,Transfer,Transfer,Transfer,Transfer,Transfer,Transfer,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,NONE,NONE,NONE,N/A,N/A
auto-pay,collection-payments,Module,FAQ,Module,FAQ,Module,FAQ,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,NONE,NONE,NONE,N/A,N/A
billing-questions,service,Transfer,Transfer,Transfer,Transfer,Transfer,Transfer,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,NONE,NONE,NONE,N/A,N/A
cable-burial-status,tech-support-wireline,Transfer,Transfer,Transfer,Transfer,Transfer,Transfer,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,NONE,NONE,NONE,N/A,N/A
cable-PIN-reset,tech-support-wireline,Transfer,Transfer,Transfer,Transfer,Transfer,Transfer,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,NONE,NONE,NONE,N/A,N/A
call-history,service,Module,FAQ,Module,FAQ,Module,FAQ,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,NONE,NONE,NONE,N/A,N/A
cancel-streaming-services,service,Transfer,Transfer,Transfer,Transfer,Transfer,Transfer,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,NONE,NONE,NONE,N/A,N/A
change-contact-info,service,Transfer,Transfer,Transfer,Transfer,Transfer,Transfer,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,NONE,NONE,NONE,N/A,N/A
change-payment-method,collection-payments,Module,FAQ,Module,FAQ,Module,FAQ,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,NONE,NONE,NONE,N/A,N/A
device-protection,service,Transfer,Transfer,Transfer,Transfer,Transfer,Transfer,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,NONE,NONE,NONE,N/A,N/A
device-warranty,tech-support-wireless,Transfer,Transfer,Transfer,Transfer,Transfer,Transfer,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,NONE,NONE,NONE,N/A,N/A
equipment-return-after-move,tech-support-wireline,Transfer,Transfer,Transfer,Transfer,Transfer,Transfer,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,NONE,NONE,NONE,N/A,N/A
equipment-return-general,tech-support,Transfer,Transfer,Transfer,Transfer,Transfer,Transfer,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,NONE,NONE,NONE,N/A,N/A
equipment-return-residential,tech-support-wireline,Transfer,Transfer,Transfer,Transfer,Transfer,Transfer,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,NONE,NONE,NONE,N/A,N/A
exchange-devices,tech-support,Transfer,Transfer,Transfer,Transfer,Transfer,Transfer,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,NONE,NONE,NONE,N/A,N/A
hotel-support,tech-support-wireline,Transfer,Transfer,Transfer,Transfer,Transfer,Transfer,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,NONE,NONE,NONE,N/A,N/A
inquire-box-decommission,tech-support-wireline,Transfer,Transfer,Transfer,Transfer,Transfer,Transfer,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,NONE,NONE,NONE,N/A,N/A
internet-existing,tech-support-wireline,Module,InternetTechnicalSupport,Module,InternetTechnicalSupport,Module,InternetTechnicalSupport,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,NONE,NONE,NONE,N/A,N/A
internet-support,tech-support-wireline,Module,InternetTechnicalSupport,Module,InternetTechnicalSupport,Module,InternetTechnicalSupport,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,NONE,NONE,NONE,N/A,N/A
advantage-voice-support,tech-support-wireless,Module,WirelessTechnicalSupport,Module,WirelessTechnicalSupport,Module,WirelessTechnicalSupport,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,NONE,NONE,NONE,N/A,N/A
advantage-wifi-support,tech-support-advantage-wifi,Transfer,Transfer,Transfer,Transfer,Transfer,Transfer,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,NONE,NONE,NONE,N/A,N/A
airwatch-support,tech-support-T2-IOT,Transfer,Transfer,Transfer,Transfer,Transfer,Transfer,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,NONE,NONE,NONE,N/A,N/A
business-phone-support,tech-support,Module,BusinessPhoneTechnicalSupport,Module,BusinessPhoneTechnicalSupport,Module,BusinessPhoneTechnicalSupport,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,NONE,NONE,NONE,N/A,N/A
custom-APN-support,tech-support-T2-O365,Transfer,Transfer,Transfer,Transfer,Transfer,Transfer,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,NONE,NONE,NONE,N/A,N/A
device-support,tech-support,Module,FAQ,Module,FAQ,Module,FAQ,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,NONE,NONE,NONE,N/A,N/A
GoDaddy-support,tech-support-T2-O365,Transfer,Transfer,Transfer,Transfer,Transfer,Transfer,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,NONE,NONE,NONE,N/A,N/A
issue-internet,tech-support-wireline,Transfer,Transfer,Transfer,Transfer,Transfer,Transfer,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,NONE,NONE,NONE,N/A,N/A
IoT-support,tech-support-T2-IOT,Transfer,Transfer,Transfer,Transfer,Transfer,Transfer,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,NONE,NONE,NONE,N/A,N/A
meraki-or-security-support,tech-support-advantage-wifi,Transfer,Transfer,Transfer,Transfer,Transfer,Transfer,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,NONE,NONE,NONE,N/A,N/A
O365-support,tech-support-T2-O365,Transfer,Transfer,Transfer,Transfer,Transfer,Transfer,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,NONE,NONE,NONE,N/A,N/A
phone-hardware-support,tech-support-wireless,Module,WirelessTechnicalSupport,Module,WirelessTechnicalSupport,Module,WirelessTechnicalSupport,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,NONE,NONE,NONE,N/A,N/A
phone-software-support,tech-support-wireless,Transfer,Transfer,Transfer,Transfer,Transfer,Transfer,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,NONE,NONE,NONE,N/A,N/A
satellite-support,tech-support-satellite,Transfer,Transfer,Transfer,Transfer,Transfer,Transfer,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,NONE,NONE,NONE,N/A,N/A
tv-support,tech-support-wireline,Module,TVTechnicalSupport,Module,TVTechnicalSupport,Module,TVTechnicalSupport,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,NONE,NONE,NONE,N/A,N/A
voice-support,tech-support-wireless,Transfer,Transfer,Transfer,Transfer,Transfer,Transfer,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,NONE,NONE,NONE,N/A,N/A
wireless-wholesale-support,tech-support-wholesale,Transfer,Transfer,Transfer,Transfer,Transfer,Transfer,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,NONE,NONE,NONE,N/A,N/A
missing-sim-order,tech-support-wireless,Transfer,Transfer,Transfer,Transfer,Transfer,Transfer,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,NONE,NONE,NONE,N/A,N/A
modem-support,tech-support-wireline,Transfer,Transfer,Transfer,Transfer,Transfer,Transfer,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,NONE,NONE,NONE,N/A,N/A
network-support,tech-support-wireline,Transfer,Transfer,Transfer,Transfer,Transfer,Transfer,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,NONE,NONE,NONE,N/A,N/A
outage-check,tech-support-wireline,Module,OutageStatus,Module,OutageStatus,Module,OutageStatus,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,NONE,NONE,NONE,N/A,N/A
phone-help-vague,tech-support,Transfer,Transfer,Transfer,Transfer,Transfer,Transfer,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,NONE,NONE,NONE,N/A,N/A
phone-support,tech-support,Module,BusinessPhoneTechnicalSupport,Module,BusinessPhoneTechnicalSupport,Module,BusinessPhoneTechnicalSupport,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,NONE,NONE,NONE,N/A,N/A
phone-vague,tech-support,Transfer,Transfer,Transfer,Transfer,Transfer,Transfer,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,NONE,NONE,NONE,N/A,N/A
plan-add-on,service,Transfer,Transfer,Transfer,Transfer,Transfer,Transfer,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,NONE,NONE,NONE,N/A,N/A
product-inquiries,sales,Transfer,Transfer,Transfer,Transfer,Transfer,Transfer,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,NONE,NONE,NONE,N/A,N/A
replace-sim,tech-support-wireless,Transfer,Transfer,Transfer,Transfer,Transfer,Transfer,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,NONE,NONE,NONE,N/A,N/A
reset-digital-box,tech-support-wireline,Transfer,Transfer,Transfer,Transfer,Transfer,Transfer,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,NONE,NONE,NONE,N/A,N/A
reset-router,tech-support-wireline,Module,InternetTechnicalSupport,Module,TechnicalInternetMain,Module,TechnicalInternetMain,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,NONE,NONE,NONE,N/A,N/A
return-devices,tech-support,Transfer,Transfer,Transfer,Transfer,Transfer,Transfer,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,NONE,NONE,NONE,N/A,N/A
return-label,tech-support,Transfer,Transfer,Transfer,Transfer,Transfer,Transfer,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,NONE,NONE,NONE,N/A,N/A
return-order,tech-support-wireless,Transfer,Transfer,Transfer,Transfer,Transfer,Transfer,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,NONE,NONE,NONE,N/A,N/A
roaming-support-vague,tech-support-wireless,Transfer,Transfer,Transfer,Transfer,Transfer,Transfer,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,NONE,NONE,NONE,N/A,N/A
streaming-support,tech-support-wireline,Transfer,Transfer,Transfer,Transfer,Transfer,Transfer,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,NONE,NONE,NONE,N/A,N/A
tech-support-vague,tech-support,Transfer,Transfer,Transfer,Transfer,Transfer,Transfer,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,NONE,NONE,NONE,N/A,N/A
tech-support-vague_BM,tech-support,Transfer,Transfer,Transfer,Transfer,Transfer,Transfer,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,NONE,NONE,NONE,N/A,N/A
ticket-status,tech-support,Transfer,Transfer,Transfer,Transfer,Transfer,Transfer,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,NONE,NONE,NONE,N/A,N/A
troubleshoot-voicemail,tech-support,Module,FAQ,Module,FAQ,Module,FAQ,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,NONE,NONE,NONE,N/A,N/A
unlock-device,tech-support-wireless,Transfer,Transfer,Transfer,Transfer,Transfer,Transfer,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,NONE,NONE,NONE,N/A,N/A
view-bill,service,Module,FAQ,Module,FAQ,Module,FAQ,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,NONE,NONE,NONE,N/A,N/A
voicemail-password-reset,service,Module,FAQ,Module,FAQ,Module,FAQ,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,NONE,NONE,NONE,N/A,N/A
voicemail-support,tech-support-wireless,Module,FAQ,Module,FAQ,Module,FAQ,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,NONE,NONE,NONE,N/A,N/A
wifi-calling-support,tech-support-wireless,Module,WirelessTechnicalSupport,Module,WirelessTechnicalSupport,Module,WirelessTechnicalSupport,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,NONE,NONE,NONE,N/A,N/A
wifi-support-general,tech-support-wireless,Transfer,Transfer,Transfer,Transfer,Transfer,Transfer,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,NONE,NONE,NONE,N/A,N/A
wireless-support,tech-support-wireless,Module,WirelessTechnicalSupport,Module,WirelessTechnicalSupport,Module,WirelessTechnicalSupport,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,NONE,NONE,NONE,N/A,N/A
wrong-device-received,tech-support-wireless,Transfer,Transfer,Transfer,Transfer,Transfer,Transfer,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,NONE,NONE,NONE,N/A,N/A
activate-ss-ct,service,Transfer,Transfer,Transfer,Transfer,Transfer,Transfer,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,NONE,NONE,NONE,N/A,N/A
technical-support,tech-support,Module,TechnicalSupportMain,Module,TechnicalSupportMain,Module,TechnicalSupportMain,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,NONE,NONE,NONE,N/A,N/A
cancel-account,churn-risk,Transfer,Transfer,Transfer,Transfer,Transfer,Transfer,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,NONE,NONE,NONE,N/A,N/A
manage-mobility-support,tech-support-T2-DEVC,Transfer,Transfer,Transfer,Transfer,Transfer,Transfer,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,NONE,NONE,NONE,N/A,N/A
tv-hotel-support,tech-support-wireline,Transfer,Transfer,Transfer,Transfer,Transfer,Transfer,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,NONE,NONE,NONE,N/A,N/A
lost-or-stolen-sim,service,Module,FAQ,Module,FAQ,Module,FAQ,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,NONE,NONE,NONE,N/A,N/A
password-reset,tech-support,Transfer,Transfer,Transfer,Transfer,Transfer,Transfer,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,NONE,NONE,NONE,N/A,N/A
payment-vague,collection-payments,Transfer,Transfer,Transfer,Transfer,Transfer,Transfer,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,NONE,NONE,NONE,N/A,N/A
sim-card-received,tech-support-wireless,Module,FAQ,Module,FAQ,Module,FAQ,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,NONE,NONE,NONE,N/A,N/A
technical-support-wifi-vague,tech-support-wireline,Transfer,Transfer,Transfer,Transfer,Transfer,Transfer,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,NONE,NONE,NONE,N/A,N/A
voicemail-support-vague,tech-support,Transfer,Transfer,Transfer,Transfer,Transfer,Transfer,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,NONE,NONE,NONE,N/A,N/A
postTS-internet-support,tech-support-wireline,Transfer,Transfer,Transfer,Transfer,Transfer,Transfer,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,NONE,NONE,NONE,N/A,N/A
postTS-tv-support,tech-support-wireline,Transfer,Transfer,Transfer,Transfer,Transfer,Transfer,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,NONE,NONE,NONE,N/A,N/A
postTS-wireless-support,tech-support-wireless,Transfer,Transfer,Transfer,Transfer,Transfer,Transfer,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,NONE,NONE,NONE,N/A,N/A
postTS-business-phone-support,tech-support,Transfer,Transfer,Transfer,Transfer,Transfer,Transfer,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,NONE,NONE,NONE,N/A,N/A
mobile-hotspot,tech-support-wireless,Transfer,Transfer,Transfer,Transfer,Transfer,Transfer,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,NONE,NONE,NONE,N/A,N/A
troubleshoot-wifi,tech-support-wireline,Transfer,Transfer,Transfer,Transfer,Transfer,Transfer,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,NONE,NONE,NONE,N/A,N/A
internet-WHI,tech-support-internet,Transfer,Transfer,Transfer,Transfer,Transfer,Transfer,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,NONE,NONE,NONE,N/A,N/A
5GHI-Support,tech-support-internet,Transfer,Transfer,Transfer,Transfer,Transfer,Transfer,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,NONE,NONE,NONE,N/A,N/A
postTS-internet-WHI,tech-support-wireline,Transfer,Transfer,Transfer,Transfer,Transfer,Transfer,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,NONE,NONE,NONE,N/A,N/A
postTS-5GHI-Support,tech-support-wireline,Transfer,Transfer,Transfer,Transfer,Transfer,Transfer,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,NONE,NONE,NONE,N/A,N/A
no-match,no-match,Module,BOMM,Module,BOMM,Module,BOMM,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,NONE,NONE,NONE,N/A,N/A
accounts-receivables,service,Module,AccountReceivables,Module,AccountReceivables,Module,AccountReceivables,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,NONE,NONE,NONE,N/A,N/A
postTS-internet-existing,tech-support-wireline,Transfer,Transfer,Transfer,Transfer,Transfer,Transfer,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,NONE,NONE,NONE,N/A,N/A
postTS-phone-hardware-support,tech-support-wireless,Transfer,Transfer,Transfer,Transfer,Transfer,Transfer,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,NONE,NONE,NONE,N/A,N/A
postTS-advantage-voice-support,tech-support-wireless,Transfer,Transfer,Transfer,Transfer,Transfer,Transfer,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,NONE,NONE,NONE,N/A,N/A
postTS-phone-support,tech-support,Transfer,Transfer,Transfer,Transfer,Transfer,Transfer,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,NONE,NONE,NONE,N/A,N/A
postTS-wifi-calling-support,tech-support-wireless,Transfer,Transfer,Transfer,Transfer,Transfer,Transfer,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,NONE,NONE,NONE,N/A,N/A
postTS-reset-router ,tech-support-wireline,Transfer,Transfer,Transfer,Transfer,Transfer,Transfer,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,NONE,NONE,NONE,N/A,N/A
postTS-wifi-support-general,tech-support-wireless,Transfer,Transfer,Transfer,Transfer,Transfer,Transfer,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,NONE,NONE,NONE,N/A,N/A
